DATAFLOW,LAST UPDATE,freq,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IS,2016,13861.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IS,2017,17389.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IS,2018,18597.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IS,2019,18728.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IS,2020,18612.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2012,4268.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2013,4343.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2014,4081.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2015,4084.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2016,4775.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2017,5400.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2018,5706.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2019,6101.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,IT,2020,5741.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2012,1908.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2013,1898.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2014,1904.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2015,2036.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2016,2331.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2017,2533.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2018,3011.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2019,3251.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LT,2020,3878.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2012,17222.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2013,15015.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2014,17525.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2015,17595.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2016,14547.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2017,15597.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2018,16204.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2019,18184.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LU,2020,18815.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2012,3130.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2013,2375.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2014,2606.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2015,2604.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2016,2691.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2017,2895.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2018,2832.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,LV,2020,3325.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2012,3288.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2013,3689.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2014,3834.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2015,3831.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2016,4124.1,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2018,4673.0,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2019,5472.5,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,MT,2020,5823.9,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2012,6128.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2013,6291.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2014,6221.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2015,6194.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2016,6356.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2017,6674.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2018,7246.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2019,7582.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NL,2020,8084.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2013,20269.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2014,17958.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2015,17275.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2016,17355.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2017,18071.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2018,18362.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2019,18961.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,NO,2020,18011.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2012,1762.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2013,1785.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2014,1994.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2015,2088.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2016,2273.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2017,2367.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2018,2547.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2019,2804.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PL,2020,2871.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PT,2012,2384.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PT,2013,2659.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PT,2014,2768.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,PT,2015,2688.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2014,927.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2015,1027.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2016,1030.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2017,1186.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2018,1355.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2019,1659.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RO,2020,1684.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RS,2013,105.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RS,2014,110.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RS,2015,116.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,RS,2017,115.9,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2012,12926.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2013,13451.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2014,13266.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2015,13488.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2016,13740.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2017,13152.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2018,12865.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2019,12628.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SE,2020,12916.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2012,4351.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2013,4163.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2014,4433.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2015,3889.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2016,3827.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2017,4058.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2018,4244.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2019,4439.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SI,2020,4837.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2012,2030.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2013,2140.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2014,2355.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2015,2440.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2016,2566.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2017,2723.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2018,2962.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2019,3479.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,SK,2020,3568.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,TR,2012,1368.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,TR,2013,1323.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,TR,2014,1198.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,TR,2015,1294.6,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,TR,2016,1520.2,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2012,5725.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2013,4641.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2014,3996.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2015,4753.6,b
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2016,3297.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2017,3183.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2018,3015.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,UK,2019,3141.5,
